Metric,VADER,TextBlob,Difference (V-T)
Accuracy,0.793,0.735,0.05800000000000005
Precision (macro),0.45745091363068885,0.4655714285714286,-0.008120514940739731
Recall (macro),0.5143074909170452,0.455876834107478,0.058430656809567216
F1-Score (macro),0.4748069890190327,0.4332231686613415,0.041583820357691204
Precision (weighted),0.8569656792645557,0.8549957142857143,0.0019699649788413875
Recall (weighted),0.793,0.735,0.05800000000000005
F1-Score (weighted),0.8212287927594589,0.7854037980515369,0.035824994707922
